Skill,Description, Right answer,Wrong Answer
Critical Thinking,Ability to analyse facts to form a judgment,"1,3,4,6,7,8","2,5"
Digital Literacy,"Ability to find, evaluate, and clearly communicate","9,11,14,15,16","10,12,13"
Communication,Ability you use when giving and receiving different kinds of information,"17,18,23,24","19,20,21"
General Knowledg,"Knowledge about many different things, as opposed to detailed knowledge about one particular subject","25,26,27,28,29,30,31,32",-
Technical Aptitude,Ability to possess a high intellect in electronics and technology,"25,26,27,28,29,30,31,32",-
